,English,Polish,Russian,Ukrainian,Lithuanian,German,Japanese,Spanish; Castilian,French,Italian,Chinese,Persian,Portuguese,Arabic,Turkish,Indonesian,Dutch; Flemish
2023-06-06,1.9029320176218885e-05,6.073361211632788e-05,0.00030823068941373725,9.55526916797646e-05,0.00014956057076369683,2.2525907960061068e-05,1.1025093275387878e-05,2.0867778594933984e-05,1.6708806647309444e-05,2.2150468521269697e-05,2.0078986686697922e-05,3.4475326455299016e-05,2.8314431030583577e-05,2.4290495585294905e-05,3.993553369495945e-05,1.7705483327133023e-05,3.0448762777650014e-05
2023-06-07,1.762091607386856e-05,5.860232988932337e-05,0.00032322253909396474,9.870307998474588e-05,0.0001288444299456386,2.2390630721243927e-05,9.821503272015628e-06,2.0133323551040535e-05,1.5128890110704204e-05,2.3296676304937063e-05,1.9642765663691336e-05,3.481020353723513e-05,2.8848017871924032e-05,1.7235763259547613e-05,3.366783939692433e-05,1.834995213888857e-05,2.3510424977475496e-05
2023-06-08,1.7616318359009106e-05,5.069132668689621e-05,0.000326461799078832,0.00011404455406121505,0.00016867699945896056,2.3035757122682365e-05,9.198617425048252e-06,1.9713188997814858e-05,1.357099570120372e-05,2.1330134197530445e-05,2.076647566493009e-05,3.227912604514534e-05,3.2065445190381235e-05,2.415531068441153e-05,4.480853088654089e-05,1.7002104010371284e-05,2.5530646675649286e-05
2023-06-09,1.702949948581945e-05,4.069602749396932e-05,0.0003433482915759869,0.00011089116230439756,0.00011624094661858067,2.161709133709476e-05,8.704033016875023e-06,1.9496947058064168e-05,1.3143695596111573e-05,2.2467025871103298e-05,1.7793260738947764e-05,3.3967652093070434e-05,2.9499674179880694e-05,2.2444801907882566e-05,3.732486378464328e-05,2.3218524866251153e-05,1.9846575791401293e-05
2023-06-10,1.6302130181273256e-05,5.2442145612188204e-05,0.00030386034945602996,0.00011445357277634957,0.00014230564333097374,2.287261599717923e-05,9.854174692030385e-06,2.001062470534615e-05,1.6590204782851757e-05,2.3632924675712583e-05,1.6226253891570555e-05,2.932171220129104e-05,3.3656229156085354e-05,2.0632451027276692e-05,3.8419610243068675e-05,1.6727830477592427e-05,2.147954150384407e-05
2023-06-11,1.5722726022211473e-05,5.439313927272276e-05,0.000308907698059275,0.00011912480762504953,0.00014841933409192104,2.248508658499116e-05,8.937887717874332e-06,1.8676231309713048e-05,1.3037645079094493e-05,1.9704979472565e-05,1.7408770629868326e-05,3.583464161209114e-05,3.436041375933943e-05,2.1847491947171455e-05,3.665498798021852e-05,2.628687688442282e-05,2.1413937991562423e-05
2023-06-12,1.7094156422275722e-05,5.531514347332255e-05,0.00030628422456311516,0.00010113049015866481,0.00012186463488295697,2.320932131265183e-05,8.30086899337975e-06,1.57318737629767e-05,1.395029551145789e-05,1.9530416495751232e-05,1.8936052418643417e-05,3.404156537940141e-05,2.8784334090488192e-05,2.2803949787374063e-05,3.9454142177103e-05,2.4724091500895754e-05,1.8044121676260917e-05
2023-06-13,1.773578100382586e-05,5.816685885579826e-05,0.0003152423825964157,8.976707118650463e-05,0.00010089572986849923,2.5567207337904195e-05,9.696372542081936e-06,1.8043143152912318e-05,1.4903646115867468e-05,1.772908136311101e-05,1.772131202738513e-05,3.455747339794496e-05,3.8694340389891206e-05,2.3228030348195916e-05,3.35198933413345e-05,1.67266121412902e-05,1.7110902358102343e-05
2023-06-14,1.7086667522613514e-05,5.362810686303285e-05,0.00029393405246468714,8.114014997840625e-05,0.00016406434659288407,2.157847496349509e-05,1.004162252536765e-05,1.7647271726796526e-05,1.5329559142782996e-05,1.779246651391904e-05,2.1765368253495324e-05,3.214264631282574e-05,2.685998534280444e-05,2.2019446428510936e-05,3.2239224195308966e-05,2.676316650353261e-05,2.1239355933819156e-05
2023-06-15,1.7728415414380392e-05,5.0668299121019515e-05,0.0003091076402332415,8.905656167066077e-05,0.0001254605319526555,2.4856090951444852e-05,7.336496653210954e-06,1.6614562412844493e-05,1.9463286257158477e-05,1.6116415778201283e-05,1.817105025706967e-05,3.1202737030674126e-05,2.849588837210662e-05,2.1407654855907958e-05,3.298487934325165e-05,2.5272771170113175e-05,2.24292726162243e-05
2023-06-16,1.7314771033538445e-05,4.8191153907615195e-05,0.00031003572252043406,0.00010026762923590734,8.231218506642236e-05,2.0040252162241996e-05,1.1544579031160733e-05,1.893094941822756e-05,1.2727443627081742e-05,2.097896229660896e-05,2.0644487684495276e-05,3.790686137424111e-05,2.9699982019470344e-05,2.2591620316192317e-05,4.184979682706926e-05,2.642966325995084e-05,1.6885233704826062e-05
2023-06-17,1.5789715511410474e-05,5.522507466459627e-05,0.0002847429088758107,9.482978452122912e-05,0.0002214211083510355,1.8125835722079945e-05,9.696669062249647e-06,1.9538233777611718e-05,1.3812507101280644e-05,2.2667130776169308e-05,2.075616298377826e-05,3.624103371765536e-05,3.2624488802025994e-05,2.1503181245959648e-05,3.190209740564056e-05,3.255522256408618e-05,1.7545365567139096e-05
2023-06-18,1.639820997170758e-05,5.028802466124729e-05,0.0002924545964774208,9.600113906969503e-05,0.00015628369867252625,2.0381031914620818e-05,8.186200184901891e-06,1.802199984978112e-05,1.5060436204141988e-05,1.9570418173387587e-05,1.6062015902313574e-05,3.456158509714018e-05,2.9635085990531407e-05,2.6889795731139478e-05,3.1366243137033995e-05,2.934424300386835e-05,2.107060186112962e-05
2023-06-19,1.6886885063544806e-05,5.083634578970308e-05,0.000295622843407126,8.353206154071832e-05,0.00015934375866431688,2.2832032739686505e-05,7.835475985253635e-06,1.7171974308287812e-05,1.7538776513559196e-05,1.8551709899132557e-05,1.7849976535041715e-05,3.117764212595563e-05,3.1189809665386124e-05,2.3703362462578482e-05,4.900103592644588e-05,2.5315716191347866e-05,2.3662384107246892e-05
2023-06-20,1.6837597789052734e-05,4.93244431689841e-05,0.00030867983627257914,9.800603547959501e-05,0.0001741589862553728,2.3401861588690057e-05,8.724083187929172e-06,1.644657839822653e-05,1.4523175933753261e-05,2.1135389034431785e-05,1.8629165396883364e-05,3.4664758909590124e-05,2.89968126950267e-05,2.891399449725379e-05,3.892787984631829e-05,2.560864638955076e-05,2.4827963966177658e-05
2023-06-21,1.66621555953329e-05,5.062076977042863e-05,0.0003035368268999387,9.059807257419645e-05,0.00013711516079144146,2.3295081835210517e-05,9.291204064516226e-06,1.8034104308115365e-05,1.379948992798006e-05,2.107110796568152e-05,1.7529715467463288e-05,2.987199476841798e-05,2.868377130807518e-05,2.1469754584501512e-05,4.215269672423313e-05,2.121810167284588e-05,2.3777831587927266e-05
2023-06-22,1.7356739075547878e-05,4.7824300518572885e-05,0.00029819031690121777,7.457840009705898e-05,0.0001409358138036563,2.121137286250737e-05,8.429519281698616e-06,1.7359444410981625e-05,1.379439522883399e-05,2.344177772119253e-05,1.2903647929583123e-05,3.411974876581212e-05,3.613886759302208e-05,2.5190885736013625e-05,4.041968796000895e-05,2.5644598350026543e-05,2.235203322445519e-05
2023-06-23,1.887359200188602e-05,6.282154712938593e-05,0.0003147502897709706,0.00014942261992825502,0.0001437035004866323,2.4291728742872435e-05,1.0128156009212365e-05,2.1465419080773304e-05,1.4823275866545575e-05,2.6128509071159828e-05,1.7862056279918943e-05,5.4698174747265456e-05,3.197119447789336e-05,2.913155185538176e-05,9.263332856203872e-05,2.857435610286191e-05,2.403625162337622e-05
2023-06-24,9.739819719236559e-05,0.00047797493289844994,0.00044241084658546277,0.00048024602695546047,0.0007059638599122149,0.00022390502480937585,0.00015601206786305217,0.0001157326461750141,0.00013233519727026222,0.00020628680876473584,0.0002576332360752483,0.00034609028825843775,0.0001783422230730187,0.00010504421562228231,0.0003025151854942902,4.793070438274654e-05,0.0002797676929770322
2023-06-25,3.738034238202309e-05,0.00018662319823022132,0.00032221251188434865,0.00018214761993138852,0.0003485883895906675,7.431663514454512e-05,3.12709559931591e-05,4.0589220983818864e-05,6.444827751758803e-05,6.598921984802715e-05,8.968904871028646e-05,0.00010521386132169962,6.40508596415032e-05,5.613862190738649e-05,0.0001064664873404169,5.365976153963723e-05,8.972154796344211e-05
2023-06-26,2.9894312311693724e-05,0.00011203588272035739,0.0003078507511203894,0.00011709800274483743,0.00028709447904834423,5.43377540688429e-05,2.733182728288199e-05,2.961215875238373e-05,4.418577249133339e-05,4.733187303932596e-05,4.65223150197846e-05,6.034326021414396e-05,5.009676816981602e-05,3.707395012080058e-05,7.559410624855186e-05,2.8367408830218717e-05,8.070617634380507e-05
2023-06-27,2.3817789770154262e-05,8.21925700920352e-05,0.00030762919681005026,0.00010228159070226472,0.00014189030889190268,3.8160012757401554e-05,1.9503799733542037e-05,2.52742471614897e-05,2.9060604041267742e-05,3.550030621511787e-05,3.3212998141891995e-05,5.218911934755811e-05,4.3317066322846146e-05,2.8458611568410704e-05,5.8580183718614274e-05,3.050622369729159e-05,4.799987612935192e-05
2023-06-28,2.1691507766158363e-05,7.133399077559913e-05,0.0003008817842156079,0.00010224177880246761,0.00013934369121438027,3.749660187045549e-05,1.5440067378205806e-05,2.0577721080893207e-05,1.9789883747017576e-05,3.0443723144520403e-05,2.7529976815719796e-05,3.851033219453332e-05,3.5373937897514625e-05,3.1775715143636875e-05,5.614344548241766e-05,2.4715062133070657e-05,3.155047669565942e-05
2023-06-29,2.0097490248010435e-05,5.819969448939594e-05,0.0003050823958709303,9.983605676100381e-05,0.00014463572730836718,2.704624352228381e-05,1.4147744730191922e-05,2.07947239144076e-05,1.891995794210931e-05,3.0311396347722507e-05,2.808149265353354e-05,4.046896683972857e-05,3.71703714445689e-05,3.119077596500307e-05,5.175678549942464e-05,2.971281098864644e-05,3.28455765219819e-05
2023-06-30,1.9373929368891936e-05,5.9503300096638345e-05,0.0003191194736232278,0.0001124244432656338,0.00022819761913817367,2.5222311025775627e-05,1.1452297429591078e-05,2.312609542728499e-05,1.7092011300743102e-05,2.4015254827911332e-05,2.4060189708308345e-05,3.934439928414084e-05,3.2912073045995264e-05,3.151414683002219e-05,4.935886799032765e-05,2.4738743407897967e-05,4.6408338375226886e-05
2023-07-01,1.7836020806538103e-05,6.533669513836843e-05,0.00029657348674273326,0.00010093182597351249,0.00025706653552547755,2.5640366153984094e-05,1.067860423879483e-05,2.2835520623631917e-05,1.730680341871411e-05,2.2143430425857365e-05,1.4743555710205863e-05,3.208163454984454e-05,2.750546301380316e-05,3.464287560256086e-05,5.2462646477014594e-05,3.215290934363545e-05,2.696483558632515e-05
2023-07-02,1.7529144504028238e-05,7.425109557090879e-05,0.00030420475732178604,0.0001459632619820998,0.00023361245154366727,2.385151960661566e-05,1.0919501404269846e-05,1.8515119279767786e-05,1.273397462864373e-05,2.2738799347838424e-05,2.0936896194868666e-05,3.453617214676974e-05,2.5206959924708022e-05,3.449403672120635e-05,4.548381458458008e-05,2.835185083063134e-05,2.039598810913893e-05
2023-07-03,1.746818567163771e-05,7.634667473731117e-05,0.0003228004707888863,0.00010228212782793223,0.00012456947778454868,2.2960901930978414e-05,1.0757418699660282e-05,1.7633373391261187e-05,1.4991936516037042e-05,2.5478740437064352e-05,1.645357467946136e-05,3.586112559817454e-05,3.3415220434794093e-05,3.488344085830983e-05,4.273295713762999e-05,2.345125213956927e-05,2.109297549230614e-05
2023-07-04,1.9716324737370172e-05,7.097136398438816e-05,0.00033221977905458893,0.00012464116048065442,0.00014297210410003146,3.194771091862814e-05,1.2620831945208761e-05,1.9889634381851644e-05,1.5903859071403674e-05,2.7754019887359126e-05,1.7708291395255338e-05,4.156082064119498e-05,3.52466820274277e-05,3.764746490854416e-05,4.6351280581531415e-05,3.1777736113634875e-05,2.926467079753753e-05
2023-07-05,1.7284459616475365e-05,6.126772417821984e-05,0.00032932039128785837,9.803369678560529e-05,9.890844638568755e-05,2.3337569455789097e-05,9.676050757402747e-06,2.0074761205016586e-05,1.4382934617474378e-05,2.2104635833348382e-05,1.63364003607559e-05,4.3180784004525786e-05,3.294554647980937e-05,3.090871041487429e-05,4.785357716883046e-05,2.463218354164433e-05,1.754466762723722e-05
2023-07-06,1.794109316633772e-05,5.7616425557714575e-05,0.0003196172396059891,0.00011558349303187842,0.0002028742940155706,2.3061872647625864e-05,1.0846003892687184e-05,1.9515105761180018e-05,1.4778869940476884e-05,2.275329306071344e-05,1.683865211561226e-05,4.116188150396493e-05,3.0210219973558866e-05,2.2628533375690814e-05,4.9190121604097514e-05,2.892797114121741e-05,1.778768796536285e-05
2023-07-07,1.8129019320473873e-05,5.793949406071769e-05,0.00031598952837041857,0.00014859023528372215,0.00018709392114841652,1.890369987029287e-05,1.0341063420951562e-05,2.1149256985257696e-05,1.4701487886453379e-05,2.0432297065463154e-05,1.9790861110303745e-05,3.9275079239771075e-05,3.081054773675588e-05,2.43367497159423e-05,3.792010102127053e-05,8.510791621653691e-05,2.568085253346038e-05
