,,weekly_pre_median,weekly_post_median,diff_weekly_median,rel_change_max_within1month,rel_change_max_time_within1month
Brussels,Italian,3.471408703526583e-06,3.920765292319924e-06,4.493565887933412e-07,34.38962957942082,2022-02-28
Brussels,Chinese,1.1155659105043355e-06,1.7996627090779963e-06,6.840967985736609e-07,86.45432722742885,2022-03-21
Brussels,Persian,1.4106320723138211e-05,2.1601609942200566e-05,7.495289219062355e-06,313.30598915064166,2022-02-28
Brussels,Portuguese,1.6566255844462217e-05,2.6477477793027633e-05,9.911221948565416e-06,314.2578753941636,2022-02-28
Brussels,Arabic,1.407566347649037e-05,1.8846567575220047e-05,4.770904098729677e-06,170.22693618924453,2022-03-21
Brussels,Turkish,2.1520726663361862e-05,2.6080792048099343e-05,4.560065384737481e-06,86.32100093244406,2022-02-28
Brussels,Indonesian,3.545694203744857e-06,5.3858718380525305e-06,1.8401776343076734e-06,222.32580933022464,2022-02-28
Brussels,Dutch; Flemish,3.648240922102833e-05,3.95788966378189e-05,3.0964874167905757e-06,6.077710417671067,2022-03-14
Bucharest,English,6.9375984200763745e-06,1.0236033201852775e-05,3.2984347817764e-06,176.03141172221478,2022-02-28
Bucharest,Polish,1.5119272751471172e-05,2.196068685899061e-05,6.841414107519437e-06,64.33503540409014,2022-02-28
Bucharest,Russian,1.0239421079207723e-05,1.4715241399818114e-05,4.475820320610392e-06,117.14290981588266,2022-03-07
Bucharest,Ukrainian,1.1759153667928417e-05,2.5850324446250626e-05,1.4091170778322208e-05,372.5778057210712,2022-03-07
Bucharest,Lithuanian,1.7549148866279984e-05,4.467698314483428e-05,2.7127834278554294e-05,181.0265634691028,2022-03-14
Bucharest,German,1.0449672105431102e-05,1.3399160474086605e-05,2.949488368655503e-06,91.8433771615289,2022-02-28
Bucharest,Japanese,2.376853590665368e-06,2.882544829661071e-06,5.056912389957028e-07,186.40564210078745,2022-03-14
Bucharest,Spanish; Castilian,6.765085651116477e-06,8.81399789836603e-06,2.048912247249553e-06,101.68290607687327,2022-02-28
Bucharest,French,7.3554310612279804e-06,8.885226652237055e-06,1.529795591009075e-06,91.0925867556915,2022-02-28
Bucharest,Italian,1.2560440355555907e-05,2.0661451527449003e-05,8.101011171893096e-06,107.01615050127486,2022-02-28
Bucharest,Chinese,4.004933987909728e-06,5.649551759127875e-06,1.644617771218147e-06,197.0279752204636,2022-02-28
Bucharest,Persian,6.458643452718879e-06,1.458613993486043e-05,8.12749648214155e-06,179.40748967348065,2022-02-28
Bucharest,Portuguese,7.822135077843282e-06,1.0757887382545272e-05,2.93575230470199e-06,177.426142735938,2022-02-28
Bucharest,Arabic,1.021089472163498e-05,1.7269071107122123e-05,7.058176385487143e-06,229.29989535787806,2022-02-28
Bucharest,Turkish,1.0545627460703771e-05,1.627555271645296e-05,5.72992525574919e-06,128.8814815398015,2022-03-21
Bucharest,Indonesian,4.086492091105369e-06,4.814999763854967e-06,7.285076727495977e-07,243.09492005694202,2022-02-28
Bucharest,Dutch; Flemish,1.1709177579575437e-05,1.698070105034808e-05,5.271523470772643e-06,129.59476140219684,2022-02-28
Budapest,English,1.2414665961603304e-05,1.7704887581902153e-05,5.290221620298849e-06,89.3373938966863,2022-02-28
Budapest,Polish,2.9461137987968367e-05,5.1625451351913046e-05,2.216431336394468e-05,32.93650549450717,2022-03-14
Budapest,Russian,2.2395636463089126e-05,2.5220866124844784e-05,2.825229661755658e-06,62.37424613806084,2022-03-21
Budapest,Ukrainian,3.0798798556445794e-05,4.102341920229924e-05,1.0224620645853446e-05,162.24737868401982,2022-03-21
Budapest,Lithuanian,4.413954932096287e-05,9.019344353501061e-05,4.605389421404774e-05,297.495921451231,2022-03-21
Budapest,German,1.8451112465074773e-05,2.849354042984365e-05,1.0042427964768878e-05,41.588733193930175,2022-03-21
Budapest,Japanese,5.60062886805633e-06,6.246664414966918e-06,6.460355469105886e-07,104.29528656283793,2022-03-21
Budapest,Spanish; Castilian,1.7567991334906064e-05,2.7184765488462954e-05,9.61677415355689e-06,104.63652458495942,2022-02-28
Budapest,French,1.774235819498676e-05,1.9320855447236896e-05,1.5784972522501356e-06,114.03317973554077,2022-02-28
Budapest,Italian,2.1261224043981604e-05,4.006507518678272e-05,1.8803851142801116e-05,125.25737384212351,2022-02-28
Budapest,Chinese,1.006677374038627e-05,1.4552319621468468e-05,4.485545881082197e-06,74.22612145863772,2022-02-28
Budapest,Persian,2.039177355071417e-05,1.9366985793721044e-05,-1.0247877569931266e-06,124.32938424130313,2022-02-28
Budapest,Portuguese,2.043901062506046e-05,2.8732707606059253e-05,8.293696980998791e-06,150.36540514630764,2022-02-28
Budapest,Arabic,2.299549848491841e-05,4.0352406750688506e-05,1.7356908265770097e-05,243.57765834848712,2022-02-28
Budapest,Turkish,2.5655863530243528e-05,3.6432308263686244e-05,1.0776444733442716e-05,74.26149313675042,2022-03-21
Budapest,Indonesian,8.744144155960555e-06,1.338485887622367e-05,4.640714720263116e-06,75.25236803821002,2022-03-14
Budapest,Dutch; Flemish,2.401505026644338e-05,3.788574102106171e-05,1.387069075461833e-05,93.8597203530193,2022-02-28
Cardiff,English,6.15475835748847e-06,7.121791660727951e-06,9.670333032394812e-07,16.896963622590235,2022-03-21
