City,Relationship,Cause,Effect,Lag,F-statistic,p-value,Chi-squared test (p-value)
Bydgoszcz,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,10.3122,0.0000,86.4818 (p = 0.0000)
Łódź,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,4.5082,0.0000,37.8071 (p = 0.0000)
Gdańsk,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,23,3.9712,0.0000,105.3217 (p = 0.0000)
Szczecin,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,10,6.7014,0.0000,71.0817 (p = 0.0000)
Kraków,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,8.0116,0.0000,67.1885 (p = 0.0000)
Lublin,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,0.8618,0.5490,7.2275 (p = 0.5123)
Warsaw,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,23,2.0560,0.0035,54.5285 (p = 0.0002)
Białystok,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,1.9516,0.0517,16.3669 (p = 0.0374)
Gliwice,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,2.7340,0.0062,22.9284 (p = 0.0035)
Wrocław,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,5.9403,0.0000,49.8177 (p = 0.0000)
Radom,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,5.6661,0.0000,47.5183 (p = 0.0000)
Częstochowa,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,5.7896,0.0000,48.5537 (p = 0.0000)
Rzeszów,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,2.4445,0.0139,20.5008 (p = 0.0086)
Poznań,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,10.2376,0.0000,85.8563 (p = 0.0000)
Gdynia,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,8,3.0884,0.0022,25.9004 (p = 0.0011)
Toruń,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,0.8172,0.5878,6.8534 (p = 0.5525)
Kielce,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,0.9649,0.4632,8.0921 (p = 0.4245)
Sosnowiec,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,0.7752,0.6248,6.5013 (p = 0.5913)
Katowice,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,1.3781,0.2047,11.5574 (p = 0.1721)
Bydgoszcz,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,1.0845,0.3733,9.0950 (p = 0.3343)
Łódź,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,0.7553,0.6425,6.3342 (p = 0.6098)
Gdańsk,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),23,1.6555,0.0317,43.9053 (p = 0.0054)
Szczecin,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),10,5.3232,0.0000,56.4629 (p = 0.0000)
Kraków,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,1.7008,0.0969,14.2634 (p = 0.0752)
Lublin,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,0.3950,0.9230,3.3128 (p = 0.9132)
Warsaw,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),23,1.5852,0.0452,42.0405 (p = 0.0090)
Białystok,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,1.9153,0.0567,16.0626 (p = 0.0415)
Gliwice,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,1.2549,0.2663,10.5238 (p = 0.2302)
Wrocław,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,0.9900,0.4434,8.3025 (p = 0.4045)
Radom,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,0.6140,0.7661,5.1493 (p = 0.7415)
Częstochowa,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,0.4847,0.8670,4.0647 (p = 0.8512)
Rzeszów,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,0.6958,0.6953,5.8355 (p = 0.6657)
Poznań,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,1.3356,0.2245,11.2010 (p = 0.1906)
Gdynia,Wikipedia views in Russian → Ukrainian refugees in Poland (UNHCR),Wikipedia views in Russian,Ukrainian refugees in Poland (UNHCR),8,1.1181,0.3501,9.3771 (p = 0.3115)
Toruń,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,5.2471,0.0000,44.0044 (p = 0.0000)
Kielce,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,4.8039,0.0000,40.2874 (p = 0.0000)
Sosnowiec,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,2.8566,0.0043,23.9569 (p = 0.0023)
Katowice,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,8.7256,0.0000,73.1762 (p = 0.0000)
Bydgoszcz,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,10.3689,0.0000,86.9572 (p = 0.0000)
Łódź,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,2.7142,0.0065,22.7621 (p = 0.0037)
Gdańsk,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,9.1071,0.0000,76.3754 (p = 0.0000)
Szczecin,Ukrainian refugees in Poland (UNHCR) → Wikipedia views in Ukrainian,Ukrainian refugees in Poland (UNHCR),Wikipedia views in Ukrainian,8,10.8184,0.0000,90.7273 (p = 0.0000)
