,,weekly_pre_median,weekly_post_median,diff_weekly_median,rel_change_max_within1month,rel_change_max_time_within1month
Kraków,Lithuanian,4.9600805936076576e-05,0.00011349290556456343,6.389209962848685e-05,130.48761321262887,2022-03-21
Kraków,German,1.4275193011687268e-05,2.1219451859808205e-05,6.944258848120936e-06,81.31640100087232,2022-03-14
Kraków,Japanese,2.6860216218345267e-06,2.833313386996672e-06,1.4729176516214533e-07,161.08410527338202,2022-02-28
Kraków,Spanish; Castilian,8.686623138247405e-06,1.0487359155556254e-05,1.8007360173088486e-06,284.44712219229484,2022-03-21
Kraków,French,7.648416670832183e-06,9.493040744451628e-06,1.844624073619445e-06,197.18692718860765,2022-03-14
Kraków,Italian,8.671195028771775e-06,1.3653874778047366e-05,4.9826797492755905e-06,173.13795813718534,2022-02-28
Kraków,Chinese,3.7764962181121804e-06,5.950996541903941e-06,2.1745003237917608e-06,213.04946384500445,2022-02-28
Kraków,Persian,3.3439840317549968e-06,4.0811510016288606e-06,7.371669698738638e-07,137.0796674544997,2022-02-28
Kraków,Portuguese,1.3114170959259392e-05,9.3131039816746e-06,-3.8010669775847923e-06,444.1777502381566,2022-03-21
Kraków,Arabic,2.619882576086678e-06,4.214765564551793e-06,1.5948829884651146e-06,241.20815725642865,2022-02-28
Kraków,Turkish,5.9321417443453075e-06,7.788982355065729e-06,1.8568406107204213e-06,238.47168619988543,2022-03-21
Kraków,Indonesian,1.1643065526008473e-06,1.764202744672518e-06,5.998961920716708e-07,200.20805504982428,2022-02-28
Kraków,Dutch; Flemish,2.158885575509447e-05,2.7837802354742682e-05,6.248946599648213e-06,240.96095238381358,2022-03-14
Lublin,English,1.3476418940460097e-06,1.6786711204515537e-06,3.3102922640554394e-07,234.92669412114734,2022-02-28
Lublin,Polish,8.443507640203537e-05,9.210361615591226e-05,7.668539753876883e-06,2.8330408389583672,2022-03-21
Lublin,Russian,5.00053762352189e-06,8.01781896264616e-06,3.017281339124271e-06,194.57617179257903,2022-03-07
Lublin,Ukrainian,1.431826384522626e-05,3.0374233834471172e-05,1.6055969989244912e-05,388.8399492492921,2022-03-07
Lublin,Lithuanian,1.9333377260870783e-05,3.0429176052929433e-05,1.109579879205865e-05,148.51816343310307,2022-03-14
Lublin,German,3.423753717982553e-06,4.487396644614628e-06,1.063642926632075e-06,264.8324160010743,2022-02-28
